state,county,station_x,year,jan_x,feb_x,mar_x,apr_x,may_x,jun_x,jul_x,aug_x,sep_x,oct_x,nov_x,dec_x,plant_acres,harvest_acres,yield_acres,bales,station_y,jan_y,feb_y,mar_y,apr_y,may_y,jun_y,jul_y,aug_y,sep_y,oct_y,nov_y,dec_y,total_percent_lost
TX,Hale,USH00417079,2009,21,178,79,587,492,852,874,569,487,206,38,326,202000,179100,903.182579564,337000,USC00410012,435,823,1115,1372,1928,2447,2515,2508,1983,1355,1092,122,11.8
TX,Sherman,USH00418692,2009,3,94,145,500,79,460,645,751,158,692,79,14,16700,15300,831.37254902,26500,USC00418692,270,640,873,1208,1716,2305,2532,2418,1906,1095,905,-58,11.8
TX,Scurry,USH00418433,2009,30,167,196,184,278,594,1107,64,241,458,3,712,67500,37500,257.28,20100,USC00418433,648,1156,1435,1721,2225,2760,2768,2793,2202,1642,1326,536,11.8
TX,Pecos,USH00413280,2009,0,66,145,8,92,1211,447,257,363,260,0,188,4000,3700,1050.81081081,8100,USC00410482,894,1301,1615,1963,2465,2838,3003,2976,2413,1901,1499,758,11.8
TX,Bailey,USH00416135,2009,0,61,86,354,462,816,1399,559,185,358,33,272,70400,21700,668.01843318,30200,USC00416135,365,747,1068,1404,1898,2410,2489,2473,1933,1315,890,40,11.8
TX,Haskell,USH00413992,2009,31,71,218,387,742,1152,1084,122,1534,787,0,495,71100,61700,427.876823339,55000,USC00413992,621,1099,1451,1742,2138,2777,2798,2874,2209,1493,1324,402,11.8
TX,Gaines,USH00418201,2009,0,152,107,422,456,942,1018,147,287,189,8,315,263500,192100,782.092660073,313000,USC00418201,637,1035,1319,1638,2135,2602,2646,2674,2125,1580,1195,383,11.8
TX,Navarro,USH00412019,2009,350,351,1835,1895,379,386,958,359,1820,3418,-9999,-9999,10600,10100,484.75247524800005,10200,USC00412019,925,1389,1559,1721,2244,2860,2981,2959,2442,1708,1540,612,11.8
TX,Wharton,USH00412266,2009,41,176,476,1056,138,140,208,162,1588,2008,1022,1327,43300,36000,562.666666667,42200,USC00412266,1223,1593,1721,2005,2494,2766,2971,2956,2563,2189,1623,899,11.8
TX,Crosby,USH00412121,2009,15,208,102,373,848,722,999,394,439,268,15,473,194000,179300,709.4255437810001,265000,USC00412121,562,986,1322,1583,2000,2539,2632,2634,2095,1413,1219,203,11.8
TX,Runnels,USH00410493,2009,25,86,297,310,646,392,877,122,791,534,8,421,56900,36300,400.661157025,30300,USC00410493,828,1285,1586,1834,2353,2900,2910,2935,2333,1782,1506,613,11.8
TX,Caldwell,USH00415429,2009,41,134,486,2063,490,10,189,341,1476,2167,1229,987,5600,1000,240.0,500,USC00415429,1055,1536,1736,1997,2469,2895,2972,3004,2514,2000,1520,789,11.8
TX,Upton,USH00415707,2008,87,0,16,33,44,568,92,681,1003,757,0,46,12900,4000,1092.0,9100,USC00415707,771,1219,1651,2089,2623,3097,2882,2845,2342,1983,1329,883,11.1
TX,Bexar,USH00417945,2008,107,50,464,212,168,3,980,1265,118,66,3,64,1900,1900,909.4736842110001,3600,USC00417947,1056,1545,1759,2095,2590,2987,2833,2831,2530,2099,1689,1190,11.1
TX,Hale,USH00417079,2008,20,152,18,204,1071,687,309,804,704,824,35,5,201800,188800,955.6779661019999,375900,USC00410012,350,659,1003,1379,1893,2543,2425,2430,1947,1481,959,466,11.1
TX,Sherman,USH00418692,2008,29,42,38,63,236,254,1271,921,303,988,13,18,14700,14300,896.223776224,26700,USC00418692,147,248,788,1179,1771,2392,2483,2357,1886,1354,822,206,11.1
TX,Bee,USH00410639,2008,521,61,79,323,172,330,1513,1525,36,138,23,94,12100,10000,465.6,9700,USC00410639,1217,1797,1851,2182,2635,2896,2749,2841,2582,2223,1870,1375,11.1
TX,Scurry,USH00418433,2008,33,0,328,1044,422,1648,648,858,691,760,20,5,60700,53700,365.58659217900004,40900,USC00418433,645,982,1278,1715,2291,2815,2718,2615,2166,1782,1215,718,11.1
TX,Hunt,USH00413734,2008,216,1056,2214,1534,1476,1702,0,1200,628,366,688,168,1900,1800,346.66666666699996,1300,USC00413734,787,1167,1542,1909,2353,2892,3056,2884,2351,1879,1428,817,11.1
TX,Pecos,USH00413280,2008,-9999,0,0,0,76,0,242,56,620,269,0,-9999,5400,4800,1060.0,10600,USC00410482,821,1274,1599,2017,2534,3040,2789,2747,2224,1880,1320,958,11.1
TX,Bailey,USH00416135,2008,13,25,33,61,688,602,546,898,454,-9999,13,13,62200,22700,524.405286344,24800,USC00416135,274,604,927,1283,1865,2519,2426,2374,1918,1396,858,433,11.1
TX,Haskell,USH00413992,2008,0,165,503,277,673,445,255,1169,955,571,13,0,73500,64300,481.493001555,64500,USC00413992,597,869,1257,1712,2263,2836,2843,2703,2226,1769,1265,704,11.1
TX,Gaines,USH00418201,2008,10,33,26,71,566,688,134,230,1049,318,15,51,249000,104000,773.076923077,167500,USC00418201,492,910,1184,1602,2136,2765,2610,2539,2064,1646,1061,546,11.1
TX,Navarro,USH00412019,2008,289,534,1879,1626,1376,168,406,925,383,593,353,295,13100,13100,545.954198473,14900,USC00412019,823,1262,1600,1872,2362,2855,2975,2888,2408,1954,1483,932,11.1
TX,Wharton,USH00412266,2008,1384,1433,802,233,139,336,613,1497,1681,577,1455,160,45400,45200,743.362831858,70000,USC00412266,1125,1483,1736,2109,2502,2814,2833,2763,2499,2035,1721,1269,11.1
TX,Hardeman,USH00417336,2008,0,211,267,422,1095,640,247,228,252,-9999,10,-9999,5800,3500,905.142857143,6600,USC00411995,530,819,1283,1757,2393,2897,2930,2787,2248,1737,1226,611,11.1
TX,Crosby,USH00412121,2008,0,77,98,320,815,498,501,396,2250,1206,13,3,203200,191100,570.675039246,227200,USC00412121,463,794,1143,1572,2090,2692,2584,2527,2068,1631,1166,574,11.1
TX,Runnels,USH00410493,2008,86,48,1207,435,117,240,122,1375,787,330,18,0,51100,48000,460.0,46000,USC00410493,716,1103,1410,1861,2386,2944,2862,2764,2320,1898,1345,863,11.1
TX,Caldwell,USH00415429,2008,364,143,376,792,64,48,257,1649,134,162,51,195,6100,5600,420.0,4900,USC00415429,936,1482,1693,1981,2548,2958,2898,2881,2460,2064,1561,986,11.1
TX,Upton,USH00415707,2007,463,81,376,1105,582,-9999,472,356,785,0,165,36,8900,8900,1240.4494382,23000,USC00415707,466,1061,1721,1827,2238,2656,2741,2843,2631,2146,1547,928,11.2
TX,Lamar,USH00416794,2007,1118,185,791,638,1409,1212,1632,222,788,619,-9999,-9999,1600,1600,900.0,3000,USC00416794,520,827,1738,1580,2277,2674,2730,2970,2575,2033,1362,795,11.2
TX,Hale,USH00417079,2007,339,48,1243,252,951,1092,1129,304,828,33,15,288,205400,172700,1081.18123914,389000,USC00410012,67,502,1215,1174,1790,2177,2374,2517,2210,1743,948,466,11.2
TX,Sherman,USH00418692,2007,162,32,478,453,367,470,506,142,260,59,53,199,15800,14000,1062.85714286,31000,USC00418692,-120,284,1090,1057,1775,2190,2497,2650,2118,1535,699,51,11.2
TX,Bee,USH00410639,2007,1544,49,2007,739,567,1165,4003,838,514,48,155,36,12900,12500,806.4,21000,USC00410639,916,1392,1927,1878,2414,2664,2675,2804,2607,2259,1797,1462,11.2
TX,Scurry,USH00418433,2007,319,107,1275,992,1089,1122,233,1230,440,0,224,432,54100,54100,975.970425139,110000,USC00418433,333,746,1547,1503,2019,2477,2569,2699,2435,1994,1219,673,11.2
TX,Pecos,USH00413280,2007,-9999,-9999,-9999,-9999,841,-9999,109,1007,260,117,-9999,-9999,6300,6100,1495.08196721,19000,USC00410482,545,1134,1747,1856,2187,2648,2716,2820,2605,2157,1451,1040,11.2
TX,Bailey,USH00416135,2007,318,55,1343,178,787,1056,289,186,222,18,56,260,55600,46800,605.128205128,59000,USC00416135,0,508,1098,1087,1732,2201,2403,2527,2235,1628,811,387,11.2
TX,Haskell,USH00413992,2007,429,127,1431,642,1276,1840,458,714,660,114,148,307,66600,66200,685.196374622,94500,USC00413992,345,683,1549,1496,2086,2437,2616,2764,2473,1981,1234,652,11.2
TX,Gaines,USH00418201,2007,376,89,633,368,2479,660,193,291,869,0,145,252,263900,258200,905.3446940360001,487000,USC00418201,286,713,1396,1407,1901,2373,2494,2618,2352,1877,1082,695,11.2
